Line Name,Voltage (kV),Substation Name,Facility Code,Planning Area,TFO,Capability (MW)
9L24,240,Oakland,946S,43-Sheerness,ATCO,466
9L24,240,Lanfine,959S,42-Hanna,ATCO,466
9L27,240,Cordel,755S,36-Alliance/Battle River,ATCO,466
9L27,240,Paintearth Creek,863S,36-Alliance/Battle River,ATCO,466
9L29,240,Oakland,946S,43-Sheerness,ATCO,466
9L29,240,Coyote Lake,963S,43-Sheerness,ATCO,466
9L46,240,Pemukan,932S,42-Hanna,ATCO,320
9L46,240,Lanfine,959S,42-Hanna,ATCO,466
9L46AL,240,Sedalia,363S,42-Hanna,ATCO,395
9L59,240,Anderson,801S,43-Sheerness,ATCO,466
9L59,240,Tinchebray,972S,36-Alliance/Battle River,ATCO,313
9L59AL,240,Garden Plain,1045S,42-Hanna,ATCO,466
9L70,240,Anderson,801S,43-Sheerness,ATCO,466
9L70,240,Oakland,946S,43-Sheerness,ATCO,466
9L79,240,Cordel,755S,36-Alliance/Battle River,ATCO,108
9L79,240,Battle River,757S,36-Alliance/Battle River,ATCO,108
9L80,240,Cordel,755S,36-Alliance/Battle River,ATCO,466
9L80,240,Battle River,757S,36-Alliance/Battle River,ATCO,466
9L93,240,Halkirk,615S,42-Hanna,ATCO,233
9L93,240,Tinchebray,972S,36-Alliance/Battle River,ATCO,232
9L97,240,Anderson,801S,43-Sheerness,ATCO,466
9L97,240,Oakland,946S,43-Sheerness,ATCO,466
9L99,240,Anderson,801S,43-Sheerness,ATCO,83
9L99,240,Sheerness,807S,43-Sheerness,ATCO,83
CHD-1,69,Magrath,225S,55-Glenwood,AltaLink,15
CHD-1,69,Taylor Hydro Plant,,55-Glenwood,AltaLink,15
PCES01L,138,Namaka,428S,45-Strathmore/Blackie,AltaLink,5
PCES01L,138,Cavalier,,45-Strathmore/Blackie,AltaLink,5
